,,BRISC,,,Cached RISC V,,,SERV,,
Clock Period (ns),Clock Frequency (Mhz),Power (W),Area (μm),Timing (ps),Power (W),Area (μm),Timing (ps),Power (W),Area (μm),Timing (ps)
442,2.262443439,2.86E-03,17264320,203091,4.03E-03,35729600,220500,4.17E-04,1525600,415999
433,2.309468822,2.92E-03,17264000,198591,4.12E-03,35729600,216000,4.26E-04,1525600,406999
424,2.358490566,2.98E-03,17264000,194091,4.20E-03,35729600,211500,4.35E-04,1525600,397999
415,2.409638554,3.05E-03,17264000,189591,4.30E-03,35729600,207000,4.44E-04,1525600,388999
406,2.463054187,3.12E-03,17264000,185091,4.39E-03,35729600,202500,4.54E-04,1525600,379999
397,2.518891688,3.19E-03,17264000,180591,4.49E-03,35729600,198000,4.64E-04,1525600,370999
388,2.577319588,3.26E-03,17263360,176091,4.59E-03,35729600,193500,4.75E-04,1525600,361999
379,2.638522427,3.34E-03,17264320,171591,4.70E-03,35729600,189000,4.86E-04,1525600,352999
370,2.702702703,3.42E-03,17264000,167091,4.82E-03,35729600,184500,4.98E-04,1525600,343999
361,2.770083102,3.50E-03,17264000,162591,4.94E-03,35729600,180000,5.11E-04,1525600,334999
352,2.840909091,3.59E-03,17264000,158091,5.06E-03,35729600,175500,5.24E-04,1525600,325999
343,2.915451895,3.69E-03,17264000,153591,5.20E-03,35728320,171000,5.37E-04,1525600,316999
334,2.994011976,3.79E-03,17264000,149091,5.34E-03,35728320,166500,5.52E-04,1525600,307999
325,3.076923077,3.89E-03,17263360,144591,5.48E-03,35728320,162000,5.67E-04,1525600,298999
316,3.164556962,4.00E-03,17254080,140091,5.64E-03,35728320,157500,5.83E-04,1525600,289999
307,3.25732899,4.10E-03,17240640,135591,5.81E-03,35728320,153000,6.00E-04,1525600,280999
298,3.355704698,4.22E-03,17240640,131091,5.98E-03,35728320,148500,6.18E-04,1525600,271999
289,3.460207612,4.35E-03,17240640,126591,6.17E-03,35728320,144000,6.38E-04,1525600,262999
280,3.571428571,4.49E-03,17241280,122091,6.37E-03,35728320,139500,6.58E-04,1525600,253999
271,3.6900369,4.64E-03,17241920,117591,6.58E-03,35728320,135000,6.80E-04,1525600,244999
262,3.816793893,4.79E-03,17243840,113091,6.80E-03,35729280,129560,7.03E-04,1525600,235999
253,3.95256917,4.96E-03,17244160,108591,7.05E-03,35727680,120404,7.28E-04,1525600,226999
244,4.098360656,5.14E-03,17243840,104091,7.31E-03,35727360,111610,7.55E-04,1525600,217999
235,4.255319149,5.33E-03,17243840,99591,7.58E-03,35728320,102879,7.84E-04,1525600,208999
226,4.424778761,5.55E-03,17245120,95091,7.89E-03,35725120,93854,8.15E-04,1525600,199999
217,4.608294931,5.78E-03,17245120,90591,8.21E-03,35728320,84718,8.49E-04,1525600,190999
